State, Facility Name, Facility ID (ORISPL), Unit ID, Year, Source Category, Facility Latitude, Facility Longitude, Owner, Operator, Unit Type, Fuel Type (Primary), Fuel Type (Secondary), Commercial Operation Date, Operating Status, Max Hourly HI Rate (MMBtu/hr)
IL,Southeast Chicago Energy Project,55281,CTG11,2020,Electric Utility,41.7181,-87.5449,Exelon Generation Company LLC,Exelon Generation Company LLC,Combustion turbine,Pipeline Natural Gas,,7/1/2002,Operating,500.1
IL,Southeast Chicago Energy Project,55281,CTG12,2020,Electric Utility,41.7181,-87.5449,Exelon Generation Company LLC,Exelon Generation Company LLC,Combustion turbine,Pipeline Natural Gas,,7/1/2002,Operating,500.1
IL,Southeast Chicago Energy Project,55281,CTG5,2020,Electric Utility,41.7181,-87.5449,Exelon Generation Company LLC,Exelon Generation Company LLC,Combustion turbine,Pipeline Natural Gas,,7/1/2002,Operating,500.1
IL,Southeast Chicago Energy Project,55281,CTG6,2020,Electric Utility,41.7181,-87.5449,Exelon Generation Company LLC,Exelon Generation Company LLC,Combustion turbine,Pipeline Natural Gas,,7/1/2002,Operating,500.1
IL,Southeast Chicago Energy Project,55281,CTG7,2020,Electric Utility,41.7181,-87.5449,Exelon Generation Company LLC,Exelon Generation Company LLC,Combustion turbine,Pipeline Natural Gas,,7/1/2002,Operating,500.1
IL,Southeast Chicago Energy Project,55281,CTG8,2020,Electric Utility,41.7181,-87.5449,Exelon Generation Company LLC,Exelon Generation Company LLC,Combustion turbine,Pipeline Natural Gas,,7/1/2002,Operating,500.1
IL,Southeast Chicago Energy Project,55281,CTG9,2020,Electric Utility,41.7181,-87.5449,Exelon Generation Company LLC,Exelon Generation Company LLC,Combustion turbine,Pipeline Natural Gas,,7/1/2002,Operating,500.1
IL,Tate & Lyle,10867,123-08,2020,Cogeneration,39.8466,-88.9261,Tate & Lyle Ingredients Americas LLC,Tate & Lyle Ingredients Americas LLC,Circulating fluidized bed boiler,Coal,Pipeline Natural Gas,8/1/1988,Operating,470
IL,Tate & Lyle,10867,123-09,2020,Cogeneration,39.8466,-88.9261,Tate & Lyle Ingredients Americas LLC,Tate & Lyle Ingredients Americas LLC,Circulating fluidized bed boiler,Coal,Pipeline Natural Gas,8/1/1988,Operating,470
IL,Tilton Power Station,7760,1,2020,Electric Utility,40.1063,-87.6539,Tilton Energy LLC,Tilton Energy LLC,Combustion turbine,Pipeline Natural Gas,,5/5/1999,Operating,630
IL,Tilton Power Station,7760,2,2020,Electric Utility,40.1063,-87.6539,Tilton Energy LLC,Tilton Energy LLC,Combustion turbine,Pipeline Natural Gas,,5/19/1999,Operating,630
IL,Tilton Power Station,7760,3,2020,Electric Utility,40.1063,-87.6539,Tilton Energy LLC,Tilton Energy LLC,Combustion turbine,Pipeline Natural Gas,,5/24/1999,Operating,630
IL,Tilton Power Station,7760,4,2020,Electric Utility,40.1063,-87.6539,Tilton Energy LLC,Tilton Energy LLC,Combustion turbine,Pipeline Natural Gas,,6/9/1999,Operating,630
IL,University Park Energy,55250,UP1,2020,Electric Utility,41.4405,-87.7528,"University Park Energy, LLC","University Park Energy, LLC",Combustion turbine,Pipeline Natural Gas,,5/14/2001,Operating,300
IL,University Park Energy,55250,UP10,2020,Electric Utility,41.4405,-87.7528,"University Park Energy, LLC","University Park Energy, LLC",Combustion turbine,Pipeline Natural Gas,,5/25/2001,Operating,300
IL,University Park Energy,55250,UP11,2020,Electric Utility,41.4405,-87.7528,"University Park Energy, LLC","University Park Energy, LLC",Combustion turbine,Pipeline Natural Gas,,7/14/2001,Operating,300
IL,University Park Energy,55250,UP12,2020,Electric Utility,41.4405,-87.7528,"University Park Energy, LLC","University Park Energy, LLC",Combustion turbine,Pipeline Natural Gas,,7/14/2001,Operating,300
IL,University Park Energy,55250,UP2,2020,Electric Utility,41.4405,-87.7528,"University Park Energy, LLC","University Park Energy, LLC",Combustion turbine,Pipeline Natural Gas,,5/14/2001,Operating,300
IL,University Park Energy,55250,UP3,2020,Electric Utility,41.4405,-87.7528,"University Park Energy, LLC","University Park Energy, LLC",Combustion turbine,Pipeline Natural Gas,,5/5/2001,Operating,300
IL,University Park Energy,55250,UP4,2020,Electric Utility,41.4405,-87.7528,"University Park Energy, LLC","University Park Energy, LLC",Combustion turbine,Pipeline Natural Gas,,5/5/2001,Operating,300
IL,University Park Energy,55250,UP5,2020,Electric Utility,41.4405,-87.7528,"University Park Energy, LLC","University Park Energy, LLC",Combustion turbine,Pipeline Natural Gas,,5/11/2001,Operating,300
IL,University Park Energy,55250,UP6,2020,Electric Utility,41.4405,-87.7528,"University Park Energy, LLC","University Park Energy, LLC",Combustion turbine,Pipeline Natural Gas,,5/11/2001,Operating,300
IL,University Park Energy,55250,UP7,2020,Electric Utility,41.4405,-87.7528,"University Park Energy, LLC","University Park Energy, LLC",Combustion turbine,Pipeline Natural Gas,,5/12/2001,Operating,300
IL,University Park Energy,55250,UP8,2020,Electric Utility,41.4405,-87.7528,"University Park Energy, LLC","University Park Energy, LLC",Combustion turbine,Pipeline Natural Gas,,5/12/2001,Operating,300
IL,University Park Energy,55250,UP9,2020,Electric Utility,41.4405,-87.7528,"University Park Energy, LLC","University Park Energy, LLC",Combustion turbine,Pipeline Natural Gas,,5/25/2001,Operating,300
IL,Venice,913,CT03,2020,Electric Utility,38.6642,-90.1764,Union Electric Company,Union Electric Company,Combustion turbine,Pipeline Natural Gas,,5/28/2005,Operating,2121
IL,Venice,913,CT04,2020,Electric Utility,38.6642,-90.1764,Union Electric Company,Union Electric Company,Combustion turbine,Pipeline Natural Gas,,5/24/2005,Operating,2121
IL,Venice,913,CT05,2020,Electric Utility,38.6642,-90.1764,Union Electric Company,Union Electric Company,Combustion turbine,Pipeline Natural Gas,,10/19/2005,Operating,1524
IL,Venice,913,CT2A,2020,Electric Utility,38.6642,-90.1764,Union Electric Company,Union Electric Company,Combustion turbine,Pipeline Natural Gas,Diesel Oil,5/10/2002,Operating,305
IL,Venice,913,CT2B,2020,Electric Utility,38.6642,-90.1764,Union Electric Company,Union Electric Company,Combustion turbine,Pipeline Natural Gas,Diesel Oil,5/10/2002,Operating,305
IL,Waukegan,883,311,2020,Electric Utility,42.3833,-87.8133,Midwest Generation LLC,Midwest Generation LLC,Combustion turbine,Diesel Oil,,7/11/1968,Operating,553
IL,Waukegan,883,312,2020,Electric Utility,42.3833,-87.8133,Midwest Generation LLC,Midwest Generation LLC,Combustion turbine,Diesel Oil,,7/11/1968,Operating,553
IL,Waukegan,883,321,2020,Electric Utility,42.3833,-87.8133,Midwest Generation LLC,Midwest Generation LLC,Combustion turbine,Diesel Oil,,7/11/1968,Operating,553
IL,Waukegan,883,322,2020,Electric Utility,42.3833,-87.8133,Midwest Generation LLC,Midwest Generation LLC,Combustion turbine,Diesel Oil,,7/11/1968,Operating,553
IL,Waukegan,883,7,2020,Electric Utility,42.3833,-87.8133,"Midwest Generation EME, LLC","Midwest Generation EME, LLC",Tangentially-fired,Coal,,6/11/1958,Operating,4239
IL,Waukegan,883,8,2020,Electric Utility,42.3833,-87.8133,"Midwest Generation EME, LLC","Midwest Generation EME, LLC",Tangentially-fired,Coal,,7/2/1962,Operating,4947
IL,Will County,884,3,2020,Electric Utility,41.6334,-88.0626,"Midwest Generation EME, LLC","Midwest Generation EME, LLC",Tangentially-fired,Coal,,6/28/1957,Operating,4905
IL,Will County,884,4,2020,Electric Utility,41.6334,-88.0626,"Midwest Generation EME, LLC","Midwest Generation EME, LLC",Tangentially-fired,Coal,,6/25/1963,Operating,6359
IL,Wood River Refinery,880067,BLR15,2020,Petroleum Refinery,38.8375,-90.0675,WRB Refining LP,Phillips 66 Company,Dry bottom wall-fired boiler,Process Gas,,1/1/1951,Operating,360
IL,Wood River Refinery,880067,BLR16,2020,Petroleum Refinery,38.8375,-90.0675,WRB Refining LP,Phillips 66 Company,Dry bottom wall-fired boiler,Process Gas,,1/1/1951,Operating,360
IL,Wood River Refinery,880067,BLR17,2020,Petroleum Refinery,38.8375,-90.0675,WRB Refining LP,Phillips 66 Company,Tangentially-fired,Process Gas,,1/1/1971,Operating,700
IL,Wood River Refinery,880067,BLR19,2020,Petroleum Refinery,38.8375,-90.0675,WRB Refining LP,Phillips 66 Company,Other boiler,Natural Gas,Process Gas,8/11/2016,Operating,405
IL,Zion Energy Center,55392,CT-1,2020,Electric Utility,42.4776,-87.895,"Zion Energy Center, LLC","Calpine Operating Services Company, Inc.",Combustion turbine,Pipeline Natural Gas,Diesel Oil,5/1/2002,Operating,2050
IL,Zion Energy Center,55392,CT-2,2020,Electric Utility,42.4776,-87.895,"Zion Energy Center, LLC","Calpine Operating Services Company, Inc.",Combustion turbine,Pipeline Natural Gas,Diesel Oil,5/1/2002,Operating,2050
IL,Zion Energy Center,55392,CT-3,2020,Electric Utility,42.4776,-87.895,"Zion Energy Center, LLC","Calpine Operating Services Company, Inc.",Combustion turbine,Pipeline Natural Gas,Diesel Oil,5/19/2003,Operating,2050
IN,A B Brown Generating Station,6137,1,2020,Electric Utility,37.9053,-87.715,Southern Indiana Gas and Electric Company,Southern Indiana Gas and Electric Company,Dry bottom wall-fired boiler,Coal,,4/19/1979,Operating,3632
IN,A B Brown Generating Station,6137,2,2020,Electric Utility,37.9053,-87.715,Southern Indiana Gas and Electric Company,Southern Indiana Gas and Electric Company,Dry bottom wall-fired boiler,Coal,,2/19/1984,Operating,4469
IN,A B Brown Generating Station,6137,3,2020,Electric Utility,37.9053,-87.715,Southern Indiana Gas and Electric Company,Southern Indiana Gas and Electric Company,Combustion turbine,Pipeline Natural Gas,Diesel Oil,6/3/1991,Operating,1108
IN,A B Brown Generating Station,6137,4,2020,Electric Utility,37.9053,-87.715,Southern Indiana Gas and Electric Company,Southern Indiana Gas and Electric Company,Combustion turbine,Pipeline Natural Gas,,7/1/2002,Operating,1406
IN,Alcoa Allowance Management Inc,6705,1,2020,Industrial Boiler,37.915,-87.3328,"Alcoa Allowance Management, Inc.","Alcoa Allowance Management, Inc.",Dry bottom wall-fired boiler,Coal,,4/1/1960,Operating,2201.5
IN,Alcoa Allowance Management Inc,6705,2,2020,Industrial Boiler,37.915,-87.3328,"Alcoa Allowance Management, Inc.","Alcoa Allowance Management, Inc.",Dry bottom wall-fired boiler,Coal,,12/1/1964,Operating,2865.7
IN,Alcoa Allowance Management Inc,6705,3,2020,Industrial Boiler,37.915,-87.3328,"Alcoa Allowance Management, Inc.","Alcoa Allowance Management, Inc.",Dry bottom wall-fired boiler,Coal,,10/1/1965,Operating,2865.7
IN,Alcoa Allowance Management Inc,6705,4,2020,Industrial Boiler,37.915,-87.3328,"Alcoa Allowance Management, Inc., Vectren Corporation","Alcoa Allowance Management, Inc.",Cell burner boiler,Coal,,10/1/1970,Operating,4455.2
IN,Anderson,7336,ACT1,2020,Electric Utility,40.0529,-85.7389,Indiana Municipal Power Agency,Indiana Municipal Power Agency,Combustion turbine,Pipeline Natural Gas,Diesel Oil,6/1/1992,Operating,560
IN,Anderson,7336,ACT2,2020,Electric Utility,40.0529,-85.7389,Indiana Municipal Power Agency,Indiana Municipal Power Agency,Combustion turbine,Pipeline Natural Gas,Diesel Oil,10/1/1992,Operating,560
IN,Anderson,7336,ACT3,2020,Electric Utility,40.0529,-85.7389,Indiana Municipal Power Agency,Indiana Municipal Power Agency,Combustion turbine,Pipeline Natural Gas,Diesel Oil,3/9/2004,Operating,1103.8
IN,ArcelorMittal USA - Indiana Harbor East,10474,211,2020,Iron & Steel,41.68,-87.4264,ArcelorMittal,ArcelorMittal,Dry bottom wall-fired boiler,Process Gas,Natural Gas,,Operating,400
IN,ArcelorMittal USA - Indiana Harbor East,10474,212,2020,Iron & Steel,41.68,-87.4264,ArcelorMittal,ArcelorMittal,Dry bottom wall-fired boiler,Process Gas,Natural Gas,,Operating,400
IN,ArcelorMittal USA - Indiana Harbor East,10474,213,2020,Iron & Steel,41.68,-87.4264,ArcelorMittal,ArcelorMittal,Dry bottom wall-fired boiler,Process Gas,Natural Gas,,Operating,400
IN,ArcelorMittal USA - Indiana Harbor East,10474,501,2020,Iron & Steel,41.68,-87.4264,ArcelorMittal,ArcelorMittal,Dry bottom wall-fired boiler,Process Gas,Natural Gas,,Operating,520
IN,ArcelorMittal USA - Indiana Harbor East,10474,502,2020,Iron & Steel,41.68,-87.4264,ArcelorMittal,ArcelorMittal,Dry bottom wall-fired boiler,Process Gas,Natural Gas,,Operating,520
IN,ArcelorMittal USA - Indiana Harbor East,10474,503,2020,Iron & Steel,41.68,-87.4264,ArcelorMittal,ArcelorMittal,Dry bottom wall-fired boiler,Process Gas,Natural Gas,,Operating,520
IN,ArcelorMittal USA - Indiana Harbor East,10474,504,2020,Iron & Steel,41.68,-87.4264,ArcelorMittal,ArcelorMittal,Dry bottom wall-fired boiler,Process Gas,Natural Gas,9/10/2012,Operating,561.6
IN,BP Whiting Business Unit,52130,3SPS31,2020,Petroleum Refinery,41.6703,-87.4803,BP Whiting Business Unit,BP Whiting Business Unit,Dry bottom wall-fired boiler,Process Gas,,1/1/1946,Operating,575
IN,BP Whiting Business Unit,52130,3SPS32,2020,Petroleum Refinery,41.6703,-87.4803,BP Whiting Business Unit,BP Whiting Business Unit,Dry bottom wall-fired boiler,Process Gas,,1/1/1947,Operating,575
IN,BP Whiting Business Unit,52130,3SPS33,2020,Petroleum Refinery,41.6703,-87.4803,BP Whiting Business Unit,BP Whiting Business Unit,Dry bottom wall-fired boiler,Process Gas,,1/1/1948,Operating,575
IN,BP Whiting Business Unit,52130,3SPS34,2020,Petroleum Refinery,41.6703,-87.4803,BP Whiting Business Unit,BP Whiting Business Unit,Dry bottom wall-fired boiler,Process Gas,,1/1/1948,Operating,575
IN,BP Whiting Business Unit,52130,3SPS36,2020,Petroleum Refinery,41.6703,-87.4803,BP Whiting Business Unit,BP Whiting Business Unit,Dry bottom wall-fired boiler,Process Gas,,1/1/1953,Operating,575
IN,Bailly Generating Station,995,10,2020,Electric Utility,41.6433,-87.1225,Northern Indiana Public Service Company,Northern Indiana Public Service Company,Combustion turbine,Pipeline Natural Gas,,11/30/1968,Operating (Retired 07/15/2020),450
IN,C. C. Perry K Steam Plant,992,11,2020,Industrial Boiler,39.7622,-86.1667,Citizens Thermal,Citizens Thermal,Dry bottom wall-fired boiler,Pipeline Natural Gas,,8/1/1938,Operating,382
IN,C. C. Perry K Steam Plant,992,12,2020,Industrial Boiler,39.7622,-86.1667,Citizens Thermal,Citizens Thermal,Dry bottom wall-fired boiler,Pipeline Natural Gas,,8/1/1938,Operating,439
IN,C. C. Perry K Steam Plant,992,13,2020,Industrial Boiler,39.7622,-86.1667,Citizens Thermal,Citizens Thermal,Dry bottom wall-fired boiler,Pipeline Natural Gas,,8/1/1947,Operating,394
IN,C. C. Perry K Steam Plant,992,14,2020,Industrial Boiler,39.7622,-86.1667,Citizens Thermal,Citizens Thermal,Dry bottom wall-fired boiler,Pipeline Natural Gas,,8/1/1947,Operating,394
IN,C. C. Perry K Steam Plant,992,16,2020,Industrial Boiler,39.7622,-86.1667,Citizens Thermal,Citizens Thermal,Stoker,Pipeline Natural Gas,,6/1/1958,Operating,350
IN,Cayuga,1001,1,2020,Electric Utility,39.9239,-87.4272,"Duke Energy Indiana, LLC","Duke Energy Indiana, LLC",Tangentially-fired,Coal,Diesel Oil,10/4/1970,Operating,5980
IN,Cayuga,1001,2,2020,Electric Utility,39.9239,-87.4272,"Duke Energy Indiana, LLC","Duke Energy Indiana, LLC",Tangentially-fired,Coal,Diesel Oil,6/22/1972,Operating,5800
IN,Cayuga,1001,4,2020,Electric Utility,39.9239,-87.4272,"Duke Energy Indiana, LLC","Duke Energy Indiana, LLC",Combustion turbine,Pipeline Natural Gas,Diesel Oil,6/29/1993,Operating,1370
IN,Clifty Creek,983,1,2020,Electric Utility,38.7383,-85.4192,Indiana Kentucky Electric Corp,Indiana Kentucky Electric Corp,Wet bottom wall-fired boiler,Coal,,2/15/1955,Operating,2800
IN,Clifty Creek,983,2,2020,Electric Utility,38.7383,-85.4192,Indiana Kentucky Electric Corp,Indiana Kentucky Electric Corp,Wet bottom wall-fired boiler,Coal,,5/1/1955,Operating,2800
IN,Clifty Creek,983,3,2020,Electric Utility,38.7383,-85.4192,Indiana Kentucky Electric Corp,Indiana Kentucky Electric Corp,Wet bottom wall-fired boiler,Coal,,7/11/1955,Operating,2800
IN,Clifty Creek,983,4,2020,Electric Utility,38.7383,-85.4192,Indiana Kentucky Electric Corp,Indiana Kentucky Electric Corp,Wet bottom wall-fired boiler,Coal,,10/24/1955,Operating,2800
IN,Clifty Creek,983,5,2020,Electric Utility,38.7383,-85.4192,Indiana Kentucky Electric Corp,Indiana Kentucky Electric Corp,Wet bottom wall-fired boiler,Coal,,11/30/1955,Operating,2800
IN,Clifty Creek,983,6,2020,Electric Utility,38.7383,-85.4192,Indiana Kentucky Electric Corp,Indiana Kentucky Electric Corp,Wet bottom wall-fired boiler,Coal,,3/13/1956,Operating,2800
IN,Edwardsport Generating Station,1004,CTG1,2020,Electric Utility,38.8067,-87.2472,"Duke Energy Indiana, LLC","Duke Energy Indiana, LLC",Integrated gasification combined cycle,Coal,Pipeline Natural Gas,3/30/2012,Operating,3200
IN,Edwardsport Generating Station,1004,CTG2,2020,Electric Utility,38.8067,-87.2472,"Duke Energy Indiana, LLC","Duke Energy Indiana, LLC",Integrated gasification combined cycle,Coal,Pipeline Natural Gas,5/18/2012,Operating,3200
IN,F B Culley Generating Station,1012,2,2020,Electric Utility,37.91,-87.3267,Southern Indiana Gas and Electric Company,Southern Indiana Gas and Electric Company,Dry bottom wall-fired boiler,Coal,,12/1/1966,Operating,2735.2
IN,F B Culley Generating Station,1012,3,2020,Electric Utility,37.91,-87.3267,Southern Indiana Gas and Electric Company,Southern Indiana Gas and Electric Company,Dry bottom wall-fired boiler,Coal,,4/1/1973,Operating,3781
IN,Georgetown Substation,7759,GT1,2020,Electric Utility,39.9022,-86.2439,Indianapolis Power & Light Company,Indianapolis Power & Light Company,Combustion turbine,Pipeline Natural Gas,,4/27/2000,Operating,1100
IN,Georgetown Substation,7759,GT2,2020,Electric Utility,39.9022,-86.2439,Indianapolis Power & Light Company,Indianapolis Power & Light Company,Combustion turbine,Pipeline Natural Gas,,4/19/2000,Operating,1100
IN,Georgetown Substation,7759,GT3,2020,Electric Utility,39.9022,-86.2439,Indianapolis Power & Light Company,Indianapolis Power & Light Company,Combustion turbine,Pipeline Natural Gas,,5/5/2000,Operating,1100
IN,Georgetown Substation,7759,GT4,2020,Electric Utility,39.9022,-86.2439,Indianapolis Power & Light Company,Indianapolis Power & Light Company,Combustion turbine,Pipeline Natural Gas,,3/20/2001,Operating,1150
IN,Gibson,6113,1,2020,Electric Utility,38.3722,-87.7661,"Duke Energy Indiana, LLC","Duke Energy Indiana, LLC",Dry bottom wall-fired boiler,Coal,Diesel Oil,5/3/1976,Operating,6500
IN,Gibson,6113,2,2020,Electric Utility,38.3722,-87.7661,"Duke Energy Indiana, LLC","Duke Energy Indiana, LLC",Dry bottom wall-fired boiler,Coal,Diesel Oil,4/16/1975,Operating,7100
IN,Gibson,6113,3,2020,Electric Utility,38.3722,-87.7661,"Duke Energy Indiana, LLC","Duke Energy Indiana, LLC",Dry bottom wall-fired boiler,Coal,Diesel Oil,3/28/1978,Operating,7300
IN,Gibson,6113,4,2020,Electric Utility,38.3722,-87.7661,"Duke Energy Indiana, LLC","Duke Energy Indiana, LLC",Dry bottom wall-fired boiler,Coal,Diesel Oil,3/27/1979,Operating,7100
IN,Gibson,6113,5,2020,Electric Utility,38.3722,-87.7661,"Duke Energy Indiana, LLC, Indiana Municipal Power Agency, Wabash Valley Power Association, Inc.","Duke Energy Indiana, LLC",Dry bottom wall-fired boiler,Coal,Diesel Oil,10/1/1982,Operating,6700
IN,Grain Processing Corporation,880108,BLR1,2020,Industrial Boiler,38.6552,-87.1814,Grain Processing Corporation,Grain Processing Corporation,Other boiler,Natural Gas,,,Operating,271
IN,Grain Processing Corporation,880108,BLR2,2020,Industrial Boiler,38.6552,-87.1814,Grain Processing Corporation,Grain Processing Corporation,Other boiler,Natural Gas,,,Operating,271
IN,Henry County Generating Station,7763,1,2020,Electric Utility,39.9528,-85.5039,"Duke Energy Indiana, LLC","Duke Energy Indiana, LLC",Combustion turbine,Pipeline Natural Gas,,7/17/2001,Operating,700
IN,Henry County Generating Station,7763,2,2020,Electric Utility,39.9528,-85.5039,"Duke Energy Indiana, LLC","Duke Energy Indiana, LLC",Combustion turbine,Pipeline Natural Gas,,7/31/2001,Operating,705
IN,Henry County Generating Station,7763,3,2020,Electric Utility,39.9528,-85.5039,"Duke Energy Indiana, LLC","Duke Energy Indiana, LLC",Combustion turbine,Pipeline Natural Gas,,8/18/2001,Operating,675
IN,Hoosier Energy Lawrence Co Station,7948,1,2020,Electric Utility,38.8003,-86.4511,"Hoosier Energy REC, Inc.","Hoosier Energy REC, Inc.",Combustion turbine,Pipeline Natural Gas,,4/1/2005,Operating,508
IN,Hoosier Energy Lawrence Co Station,7948,2,2020,Electric Utility,38.8003,-86.4511,"Hoosier Energy REC, Inc.","Hoosier Energy REC, Inc.",Combustion turbine,Pipeline Natural Gas,,4/1/2005,Operating,508
IN,Hoosier Energy Lawrence Co Station,7948,3,2020,Electric Utility,38.8003,-86.4511,"Hoosier Energy REC, Inc.","Hoosier Energy REC, Inc.",Combustion turbine,Pipeline Natural Gas,,3/19/2005,Operating,508
IN,Hoosier Energy Lawrence Co Station,7948,4,2020,Electric Utility,38.8003,-86.4511,"Hoosier Energy REC, Inc.","Hoosier Energy REC, Inc.",Combustion turbine,Pipeline Natural Gas,,3/2/2005,Operating,508
IN,Hoosier Energy Lawrence Co Station,7948,5,2020,Electric Utility,38.8003,-86.4511,"Hoosier Energy REC, Inc.","Hoosier Energy REC, Inc.",Combustion turbine,Pipeline Natural Gas,,2/21/2005,Operating,508
IN,Hoosier Energy Lawrence Co Station,7948,6,2020,Electric Utility,38.8003,-86.4511,"Hoosier Energy REC, Inc.","Hoosier Energy REC, Inc.",Combustion turbine,Pipeline Natural Gas,,2/12/2005,Operating,508
IN,IPL - Eagle Valley Generating Station,991,GT1,2020,Electric Utility,39.4851,-86.4176,Indianapolis Power & Light Company,Indianapolis Power & Light Company,Combined cycle,Pipeline Natural Gas,,11/1/2017,Operating,2542
IN,IPL - Eagle Valley Generating Station,991,GT2,2020,Electric Utility,39.4851,-86.4176,Indianapolis Power & Light Company,Indianapolis Power & Light Company,Combined cycle,Pipeline Natural Gas,,11/13/2017,Operating,2542
IN,IPL - Harding Street Station (EW Stout),990,50,2020,Electric Utility,39.7119,-86.1975,Indianapolis Power & Light Company,Indianapolis Power & Light Company,Tangentially-fired,Pipeline Natural Gas,,5/1/1958,Operating,1162
IN,IPL - Harding Street Station (EW Stout),990,60,2020,Electric Utility,39.7119,-86.1975,Indianapolis Power & Light Company,Indianapolis Power & Light Company,Tangentially-fired,Pipeline Natural Gas,,4/1/1961,Operating,1162
IN,IPL - Harding Street Station (EW Stout),990,70,2020,Electric Utility,39.7119,-86.1975,Indianapolis Power & Light Company,Indianapolis Power & Light Company,Tangentially-fired,Pipeline Natural Gas,,7/1/1973,Operating,4346
IN,IPL - Harding Street Station (EW Stout),990,GT4,2020,Electric Utility,39.7119,-86.1975,Indianapolis Power & Light Company,Indianapolis Power & Light Company,Combustion turbine,Pipeline Natural Gas,Diesel Oil,3/15/1994,Operating,1124
IN,IPL - Harding Street Station (EW Stout),990,GT5,2020,Electric Utility,39.7119,-86.1975,Indianapolis Power & Light Company,Indianapolis Power & Light Company,Combustion turbine,Pipeline Natural Gas,Diesel Oil,11/18/1994,Operating,1124
IN,IPL - Harding Street Station (EW Stout),990,GT6,2020,Electric Utility,39.7119,-86.1975,Indianapolis Power & Light Company,Indianapolis Power & Light Company,Combustion turbine,Pipeline Natural Gas,,5/10/2002,Operating,2000
IN,IPL - Petersburg Generating Station,994,1,2020,Electric Utility,38.5267,-87.2525,Indianapolis Power & Light Company,Indianapolis Power & Light Company,Tangentially-fired,Coal,,5/1/1967,Operating,2200
IN,IPL - Petersburg Generating Station,994,2,2020,Electric Utility,38.5267,-87.2525,Indianapolis Power & Light Company,Indianapolis Power & Light Company,Tangentially-fired,Coal,,12/1/1969,Operating,4144
IN,IPL - Petersburg Generating Station,994,3,2020,Electric Utility,38.5267,-87.2525,Indianapolis Power & Light Company,Indianapolis Power & Light Company,Tangentially-fired,Coal,,11/1/1977,Operating,5540
IN,IPL - Petersburg Generating Station,994,4,2020,Electric Utility,38.5267,-87.2525,Indianapolis Power & Light Company,Indianapolis Power & Light Company,Tangentially-fired,Coal,,4/1/1986,Operating,5550
IN,Lawrenceburg Energy Facility,55502,1,2020,Electric Utility,39.0913,-84.8667,"Lawrenceburg Power, LLC","Consolidated Asset Management Services, LLC",Combined cycle,Pipeline Natural Gas,,9/6/2003,Operating,2411
IN,Lawrenceburg Energy Facility,55502,2,2020,Electric Utility,39.0913,-84.8667,"Lawrenceburg Power, LLC","Consolidated Asset Management Services, LLC",Combined cycle,Pipeline Natural Gas,,9/5/2003,Operating,2411
IN,Lawrenceburg Energy Facility,55502,3,2020,Electric Utility,39.0913,-84.8667,"Lawrenceburg Power, LLC","Consolidated Asset Management Services, LLC",Combined cycle,Pipeline Natural Gas,,10/13/2003,Operating,2411
IN,Lawrenceburg Energy Facility,55502,4,2020,Electric Utility,39.0913,-84.8667,"Lawrenceburg Power, LLC","Consolidated Asset Management Services, LLC",Combined cycle,Pipeline Natural Gas,,10/15/2003,Operating,2411
IN,Merom,6213,1SG1,2020,Electric Utility,39.0694,-87.5108,"Hoosier Energy REC, Inc.","Hoosier Energy REC, Inc.",Dry bottom turbo-fired boiler,Coal,,9/1/1983,Operating,5800
IN,Merom,6213,2SG1,2020,Electric Utility,39.0694,-87.5108,"Hoosier Energy REC, Inc.","Hoosier Energy REC, Inc.",Dry bottom turbo-fired boiler,Coal,,2/1/1982,Operating,7000
IN,Michigan City Generating Station,997,12,2020,Electric Utility,41.7203,-86.9097,Northern Indiana Public Service Company,Northern Indiana Public Service Company,Cyclone boiler,Coal,,5/31/1974,Operating,5200
IN,Montpelier Electric Gen Station,55229,G1CT1,2020,Electric Utility,40.6206,-85.3057,"Montpelier Generating Station, LLC","Montpelier Generating Station, LLC",Combustion turbine,Pipeline Natural Gas,Diesel Oil,6/1/2001,Operating,305.7
IN,Montpelier Electric Gen Station,55229,G1CT2,2020,Electric Utility,40.6206,-85.3057,"Montpelier Generating Station, LLC","Montpelier Generating Station, LLC",Combustion turbine,Pipeline Natural Gas,Diesel Oil,6/1/2001,Operating,306.1
IN,Montpelier Electric Gen Station,55229,G2CT1,2020,Electric Utility,40.6206,-85.3057,"Montpelier Generating Station, LLC","Montpelier Generating Station, LLC",Combustion turbine,Pipeline Natural Gas,Diesel Oil,6/1/2001,Operating,380.5
IN,Montpelier Electric Gen Station,55229,G2CT2,2020,Electric Utility,40.6206,-85.3057,"Montpelier Generating Station, LLC","Montpelier Generating Station, LLC",Combustion turbine,Pipeline Natural Gas,Diesel Oil,6/1/2001,Operating,381.1
IN,Montpelier Electric Gen Station,55229,G3CT1,2020,Electric Utility,40.6206,-85.3057,"Montpelier Generating Station, LLC","Montpelier Generating Station, LLC",Combustion turbine,Pipeline Natural Gas,Diesel Oil,6/1/2001,Operating,305.5
IN,Montpelier Electric Gen Station,55229,G3CT2,2020,Electric Utility,40.6206,-85.3057,"Montpelier Generating Station, LLC","Montpelier Generating Station, LLC",Combustion turbine,Pipeline Natural Gas,Diesel Oil,6/1/2001,Operating,306.3
